wavelength_nm,device_A,device_B,device_C
1200.0,0.1200000022780934,0.10000038658995243,0.08000000000277463
1204.0,0.12000000376668765,0.10000053979624127,0.08000000000578765
1208.0,0.12000000618744686,0.10000075074667697,0.08000000001194549
1212.0,0.12000001009780888,0.10000104001894311,0.0800000000243956
1216.0,0.12000001637218347,0.10000143507087202,0.08000000004929753
1220.0,0.12000002637241185,0.10000197237603971,0.08000000009856996
1224.0,0.12000004220431808,0.10000270016532221,0.0800000001950158
1228.0,0.12000006710080288,0.10000368192774353,0.08000000038176915
1232.0,0.12000010598937641,0.10000500085700066,0.08000000073949913
1236.0,0.12000016632623177,0.10000676546854984,0.08000000141736051
1240.0,0.12000025931220075,0.10000911665650013,0.0800000026879971
1244.0,0.1200004016510852,0.10001223651008548,0.08000000504409287
1248.0,0.12000061807151613,0.10001635926630136,0.08000000936576299
1252.0,0.12000094491404772,0.1000217848382814,0.0800000172071547
1256.0,0.12000143519090221,0.10002889542771223,0.08000003128101045
1260.0,0.12000216566277164,0.10003817580318625,0.08000005626758735
1264.0,0.12000324665229985,0.1000502379035057,0.0800001001478488
1268.0,0.12000483553488653,0.10006585050358759,0.08000017637245758
1272.0,0.1200071551221548,0.10008597475806703,0.08000030734469295
1276.0,0.12001051848944332,0.10011180651041357,0.08000052993973074
1280.0,0.12001536220263516,0.10014482631890138,0.08000090413452532
1284.0,0.12002229037600709,0.10018685819966,0.08000152631944402
1288.0,0.12003213254250608,0.1002401381147996,0.08000254955056958
1292.0,0.12004601893652235,0.10030739323275323,0.08000421393308169
1296.0,0.12006547746492735,0.10039193295004598,0.08000689155853355
1300.0,0.12009255735306501,0.10049775257939401,0.08001115200804877
1304.0,0.12012998516417951,0.10062965046844818,0.08001785642482082
1308.0,0.12018135955395247,0.10079335910641271,0.08002829057376513
1312.0,0.12025139166945241,0.10099569049208387,0.08004435012128697
1316.0,0.12034619844772569,0.10124469566709232,0.08006879449367775
1320.0,0.12047365610747925,0.10154983785408604,0.08010558892195595
1324.0,0.12064382073287147,0.10192217807505112,0.08016035733996142
1328.0,0.12086942188042844,0.10237457145655146,0.0802409712006545
1332.0,0.1211664334473244,0.10292187165670842,0.08035830036459059
1336.0,0.121554723468922,0.10358113997820048,0.08052715116306473
1340.0,0.12205878092337198,0.10437185477294357,0.08076741255216999
1344.0,0.12270851289527174,0.10531611571427862,0.08110542285185637
1348.0,0.1235400995180124,0.10643883643538127,0.08157555579922222
1352.0,0.12459688697106723,0.10776791793970772,0.08222200457754095
1356.0,0.12593029053869506,0.10933439411985575,0.08310071550154918
1360.0,0.1276006705361143,0.11117253972212786,0.0842813891295341
1364.0,0.1296781341043933,0.1133199302192458,0.08584942657816126
1368.0,0.1322432059366102,0.11581744236297156,0.08790765469372462
1372.0,0.13538730154522832,0.11870918374610037,0.09057761874595638
1376.0,0.13921292847709738,0.12204233957588197,0.09400019010343072
1380.0,0.14383353481312378,0.1258669251143905,0.09833520485685192
1384.0,0.1493729213242403,0.13023543293799617,0.10375983448080892
1388.0,0.15596413479331261,0.13520236536286384,0.11046539866138703
1392.0,0.16374776621114434,0.14082364412002496,0.11865237022164986
1396.0,0.17286958964177257,0.14715589167041282,0.12852339801704965
1400.0,0.18347749612966835,0.15425558143634113,0.14027428845879614
1404.0,0.1957177023644217,0.16217805767719545,0.154083038859557
1408.0,0.20973024577959487,0.1709764297133094,0.17009720023496444
1412.0,0.22564381569078376,0.18070034963421255,0.18842005239589515
1416.0,0.24357001276376944,0.1913946874168866,0.20909628375413075
1420.0,0.263597174759029,0.2030981223977003,0.23209806142619144
1424.0,0.28578395278358437,0.21584167513134214,0.2573125303163777
1428.0,0.3101528663801454,0.22964720864921867,0.2845318687810375
1432.0,0.33668410453865505,0.24452593279609428,0.3134470315721522
1436.0,0.3653098698091597,0.2604769494612113,0.3436462120215243
1440.0,0.39590958087858175,0.27748587990722917,0.37461884750794106
1444.0,0.42830625232620534,0.29552361781948017,0.40576567883918885
1448.0,0.46226435647136344,0.31454525294601066,0.4364149712996444
1452.0,0.49748943981034116,0.3344892100977285,0.4658445409554826
1456.0,0.5336297151335857,0.35527664668596437,0.49330874294313776
1460.0,0.5702797808988033,0.37681114879672994,0.5180691144445375
1464.0,0.6069865340293201,0.39897876099742724,0.5394269717034114
1468.0,0.6432572445532733,0.4216483786662596,0.5567559823711639
1472.0,0.6785696551408122,0.4446725237185183,0.5695326074927152
1476.0,0.7123838613420973,0.4678885153386191,0.5773623536437766
1480.0,0.744155625517726,0.49112003694227235,0.58
1484.0,0.773350685640048,0.51417908938351,0.5773623536437766
1488.0,0.7994595456327673,0.5368683087363261,0.5695326074927152
1492.0,0.8220121822802195,0.5589836152144749,0.5567559823711639
1496.0,0.8405920793642424,0.5803171483693976,0.5394269717034114
1500.0,0.8548490053902783,0.6006604330619435,0.5180691144445375
1504.0,0.8645099880041148,0.6198077112693889,0.49330874294313776
1508.0,0.8693880049299325,0.6375593669708315,0.4658445409554826
1512.0,0.8693880049299325,0.6537253655124581,0.4364149712996444
1516.0,0.8645099880041148,0.6681286252879247,0.40576567883918885
1520.0,0.8548490053902783,0.6806082384980844,0.37461884750794106
1524.0,0.8405920793642424,0.6910224593071262,0.3436462120215243
1528.0,0.8220121822802195,0.6992513819170884,0.3134470315721522
1532.0,0.7994595456327673,0.705199237863196,0.2845318687810375
1536.0,0.773350685640048,0.7087962510076921,0.2573125303163777
1540.0,0.744155625517726,0.71,0.23209806142619144
1544.0,0.7123838613420973,0.7087962510076921,0.20909628375413075
1548.0,0.6785696551408122,0.705199237863196,0.18842005239589515
1552.0,0.6432572445532733,0.6992513819170884,0.17009720023496444
1556.0,0.6069865340293201,0.6910224593071262,0.154083038859557
1560.0,0.5702797808988033,0.6806082384980844,0.14027428845879614
1564.0,0.5336297151335857,0.6681286252879247,0.12852339801704965
1568.0,0.49748943981034116,0.6537253655124581,0.11865237022164986
1572.0,0.46226435647136344,0.6375593669708315,0.11046539866138703
1576.0,0.42830625232620534,0.6198077112693889,0.10375983448080892
1580.0,0.39590958087858175,0.6006604330619435,0.09833520485685192
1584.0,0.3653098698091597,0.5803171483693976,0.09400019010343072
1588.0,0.33668410453865505,0.5589836152144749,0.09057761874595638
1592.0,0.3101528663801454,0.5368683087363261,0.08790765469372462
1596.0,0.28578395278358437,0.51417908938351,0.08584942657816126
1600.0,0.263597174759029,0.49112003694227235,0.0842813891295341
1604.0,0.24357001276376944,0.4678885153386191,0.08310071550154918
1608.0,0.22564381569078376,0.4446725237185183,0.08222200457754095
1612.0,0.20973024577959487,0.4216483786662596,0.08157555579922222
1616.0,0.1957177023644217,0.39897876099742724,0.08110542285185637
1620.0,0.18347749612966835,0.37681114879672994,0.08076741255216999
1624.0,0.17286958964177257,0.35527664668596437,0.08052715116306473
1628.0,0.16374776621114434,0.3344892100977285,0.08035830036459059
1632.0,0.15596413479331261,0.31454525294601066,0.0802409712006545
1636.0,0.1493729213242403,0.29552361781948017,0.08016035733996142
1640.0,0.14383353481312378,0.27748587990722917,0.08010558892195595
1644.0,0.13921292847709738,0.2604769494612113,0.08006879449367775
1648.0,0.13538730154522832,0.24452593279609428,0.08004435012128697
1652.0,0.1322432059366102,0.22964720864921867,0.08002829057376513
1656.0,0.1296781341043933,0.21584167513134214,0.08001785642482082
1660.0,0.1276006705361143,0.2030981223977003,0.08001115200804877
1664.0,0.12593029053869506,0.1913946874168866,0.08000689155853355
1668.0,0.12459688697106723,0.18070034963421255,0.08000421393308169
1672.0,0.1235400995180124,0.1709764297133094,0.08000254955056958
1676.0,0.12270851289527174,0.16217805767719545,0.08000152631944402
