angle_deg,response_mA
0.0,1.0
5.0,0.9936192562651274
10.0,0.9746709007300814
15.0,0.9437306695894643
20.0,0.9017386661099708
25.0,0.8499707960683465
30.0,0.7900000000000001
35.0,0.7236484601967809
40.0,0.6529322346201107
45.0,0.5800000000000001
50.0,0.5070677653798893
55.0,0.43635153980321906
60.0,0.3700000000000001
65.0,0.31002920393165345
70.0,0.25826133389002925
75.0,0.21626933041053575
80.0,0.1853290992699185
85.0,0.1663807437348726
90.0,0.16
95.0,0.16638074373487263
100.0,0.18532909926991847
105.0,0.2162693304105358
110.0,0.2582613338900292
115.0,0.3100292039316534
120.0,0.3699999999999998
125.0,0.43635153980321917
130.0,0.5070677653798893
135.0,0.5799999999999998
140.0,0.6529322346201105
145.0,0.7236484601967811
150.0,0.7900000000000001
155.0,0.8499707960683465
160.0,0.9017386661099707
165.0,0.9437306695894642
170.0,0.9746709007300814
175.0,0.9936192562651274
180.0,1.0
185.0,0.9936192562651274
190.0,0.9746709007300814
195.0,0.9437306695894643
200.0,0.9017386661099708
205.0,0.8499707960683467
210.0,0.7899999999999999
215.0,0.7236484601967809
220.0,0.6529322346201107
225.0,0.5800000000000002
230.0,0.5070677653798894
235.0,0.4363515398032194
240.0,0.37000000000000033
245.0,0.3100292039316533
250.0,0.25826133389002914
255.0,0.2162693304105357
260.0,0.18532909926991847
265.0,0.16638074373487263
270.0,0.16
275.0,0.16638074373487258
280.0,0.18532909926991836
285.0,0.21626933041053556
290.0,0.25826133389002937
295.0,0.3100292039316536
300.0,0.3700000000000001
305.0,0.43635153980321906
310.0,0.5070677653798892
315.0,0.5799999999999998
320.0,0.6529322346201104
325.0,0.7236484601967805
330.0,0.7899999999999996
335.0,0.8499707960683467
340.0,0.9017386661099708
345.0,0.9437306695894643
350.0,0.9746709007300814
355.0,0.9936192562651274
360.0,1.0
