power_mW,current_mA
1,0.21855925454290892
1,0.24506055871957466
1,0.2918302701913945
1,0.2898694332959174
1,0.340122676006119
1,0.22072203377854083
2,0.5732838817675759
2,0.46559140488902645
2,0.8531966212810679
2,0.6246638180864078
2,0.3018608084656197
2,0.4498389412190299
3,0.7569893971208704
3,0.8347988653345499
3,1.0019705711871354
3,0.8212625506863934
3,0.9774730082034143
3,0.9452735429166531
4,1.1474694303518365
4,1.256144295290998
4,1.3318389745048522
4,1.2839847048276698
4,1.1311230786509308
4,1.1658324141518126
5,1.638393497202444
5,1.4289109863474434
5,1.5449115168219787
5,1.6062551097756756
5,1.7357559355064278
5,1.4354841040413464
6,1.9705363815842976
6,1.9512288999330494
6,1.8719701432202474
6,1.9648571375942845
6,1.9840865814801592
6,1.9216067191303103
7,2.1650957890780065
7,2.2997040605010546
7,2.5901477560160995
7,2.263756013013285
7,2.316923325395324
7,2.1923513263160843
8,2.456672413642293
8,2.488946529222908
8,2.3134523016931685
8,2.5256430090567146
8,2.5730458214850382
8,2.3948994231238836
9,2.648143531090607
9,2.9029618763560046
9,2.717377002916238
9,2.7941514682745736
9,2.829362536462242
9,2.9549414836132644
10,3.0241351509895567
10,3.2664555007592417
10,3.067122082235965
10,3.362642267145551
10,2.968866656705448
10,3.3415859993389225
