device,responsivity_A_W
A,0.772268967982224
A,0.7879467190740959
A,0.7258486374073762
A,0.5938433703265311
A,0.9085740739455174
A,0.8282040081939286
A,0.8547170989003744
A,0.6152944743293329
A,0.7378888714698896
A,0.6367773582151175
A,0.7645732038745168
A,0.881874798444287
A,0.5721337132426941
A,0.7113322153087864
A,0.7712770009851221
A,0.8099862121035227
A,0.8845179650879496
A,0.8220685280548935
A,0.749829823137298
A,0.7251227385297904
A,0.7596340089359983
A,0.6868742044823003
A,0.8904507455727675
A,0.7697170457691407
A,0.8675014980986704
A,0.7737099870982639
A,0.8105822775352869
A,0.8597889710733639
A,0.8454265270844352
A,0.8717753882863695
A,0.7890997268505016
A,0.8206133837639511
A,0.8431159823070251
A,0.6858954797548491
A,0.7079434862451996
B,1.1696495328618244
B,1.2592448190498284
B,1.04239577065973
B,1.0566862350400446
B,1.1628500111864377
B,1.0758736498034713
B,1.086786564323569
B,1.0841119262790515
B,1.195877287844927
B,1.0581469095179428
B,1.1273700492462928
B,1.2234246988570692
B,1.0809422417155339
B,1.0460624508003014
B,1.1842789522797044
B,1.0534325633816284
B,1.175159051736732
B,1.1260872921242149
B,1.1168526553251368
B,1.1031943924082144
B,0.9908960448545199
B,1.2061912156781534
B,0.9912317770256611
B,1.1273505651381208
B,1.1657965030378095
B,1.1723065230376415
B,1.0028830680417773
B,1.1342330549498962
B,1.098432343964097
B,1.2070345054598595
B,1.04430933693299
B,1.0236476154203464
B,1.0999456580935176
B,1.1965836091383928
B,1.195458567182722
C,1.2115315564923141
C,1.3411751286617923
C,0.9954419111420383
C,1.117461396928259
C,1.1472880963495795
C,1.2909891306296348
C,1.1016509578237357
C,1.433071834517088
C,1.5250004689860908
C,1.1641049198301656
C,1.0918763651419208
C,1.210691153254555
C,1.2459090141914972
C,1.4574438100570601
C,1.397048311407157
C,1.1602591484940055
C,1.411748153907787
C,1.3804426201462645
C,1.0633702916638932
C,1.5463576193009483
C,1.1916791643661242
C,1.3028246580816862
C,1.304148546511379
C,1.339215834491702
C,1.0595417177777526
C,1.1999110745513675
C,1.454327369807272
C,1.2680206549464093
C,1.3760535314081281
C,1.349588021028937
C,1.1897368726694322
C,0.9444545830860873
C,1.2254522336164306
C,1.4834132538544553
C,1.085424614431322
